DMA,DMA_code,Assignments,Assignment_Rank,Mushroom_Coffee,Luwak_Coffee,Kopi_Luwak,Functional_Food,Beta_Glucan,Health_Supplement,dma_rank, dma_tv_home ,dem_rank,zipcode, return_cnt , elderly_cnt , single_cnt , married_joint_cnt , head_household_cnt ,elerly_perc,single_perc,married_joint_perc,head_household_perc,return_perc, wage_per_capita , total_agi_per_capita , total_tax_per_capita , single_cnt_100K , married_joint_100K , head_household_100K , elderly_cnt_100K , return_cnt_100K ,elerly_perc_100K,100K_given_elerly_perc,100K_given_single_perc,100K_given_married_joint_perc,100K_given_head_household_perc,return_perc_100K, wage_per_capita_100K , total_agi_per_capita_100K , total_tax_per_capita_100K 
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20004, 920 , 150 , 690 , 170 , -   ,16.3%,75.0%,18.5%,0.0%,100.0%," 92,397 "," 135,197 "," 137,584 ", 350 , 150 , -   , 90 , 530 ,17.0%,60.0%,50.7%,88.2%,,57.6%," 196,092 "," 307,381 "," 313,254 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02110," 2,290 ", 960 ," 1,380 ", 800 , 70 ,41.9%,60.3%,34.9%,3.1%,100.0%," 79,536 "," 319,209 "," 322,509 ", 650 , 720 , 40 , 740 ," 1,440 ",51.4%,77.1%,47.1%,90.0%,57.1%,62.9%," 190,155 "," 858,542 "," 866,662 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02210," 4,240 ", 500 ," 3,310 ", 730 , 120 ,11.8%,78.1%,17.2%,2.8%,100.0%," 130,038 "," 197,774 "," 200,121 "," 1,450 ", 640 , 60 , 320 ," 2,200 ",14.5%,64.0%,43.8%,87.7%,50.0%,51.9%," 302,811 "," 493,173 "," 498,266 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02199, 880 , 280 , 620 , 220 , 30 ,31.8%,70.5%,25.0%,3.4%,100.0%," 108,133 "," 309,405 "," 310,973 ", 260 , 180 , -   , 170 , 460 ,37.0%,60.7%,41.9%,81.8%,0.0%,52.3%," 257,463 "," 829,050 "," 832,135 "
West Palm Beach-Ft. Pierce FL,548,1,2,55,0,5,0,76,99,38," 794,310 ",20,33480," 6,010 "," 3,830 "," 3,220 "," 2,240 ", 190 ,63.7%,53.6%,37.3%,3.2%,100.0%," 107,804 "," 1,038,415 "," 1,042,320 "," 1,250 "," 1,830 ", 80 ," 2,550 "," 3,390 ",75.2%,66.6%,0.0%,81.7%,42.1%,56.4%," 284,718 "," 3,017,645 "," 3,027,405 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02108," 2,390 ", 760 ," 1,510 ", 750 , 60 ,31.8%,63.2%,31.4%,2.5%,100.0%," 124,539 "," 501,911 "," 505,876 ", 570 , 680 , 20 , 550 ," 1,320 ",41.7%,72.4%,37.7%,90.7%,33.3%,55.2%," 306,761 "," 1,406,335 "," 1,416,175 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02116," 10,360 "," 2,350 "," 7,290 "," 2,530 ", 310 ,22.7%,70.4%,24.4%,3.0%,100.0%," 142,760 "," 348,410 "," 351,390 "," 2,730 "," 2,120 ", 90 ," 1,380 "," 5,060 ",27.3%,58.7%,37.4%,83.8%,29.0%,48.8%," 351,450 "," 946,164 "," 953,494 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02109," 2,650 ", 680 ," 1,900 ", 620 , 60 ,25.7%,71.7%,23.4%,2.3%,100.0%," 111,987 "," 231,073 "," 233,801 ", 710 , 520 , 30 , 420 ," 1,290 ",32.6%,61.8%,37.4%,83.9%,50.0%,48.7%," 261,870 "," 595,153 "," 601,547 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02142," 2,010 ", 250 ," 1,470 ", 400 , 80 ,12.4%,73.1%,19.9%,4.0%,100.0%," 107,976 "," 169,663 "," 170,704 ", 530 , 310 , -   , 160 , 870 ,18.4%,64.0%,36.1%,77.5%,0.0%,43.3%," 239,171 "," 410,715 "," 412,975 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22314," 21,060 "," 4,670 "," 13,410 "," 5,800 "," 1,120 ",22.2%,63.7%,27.5%,5.3%,100.0%," 94,514 "," 145,328 "," 147,667 "," 4,550 "," 4,920 ", 300 ," 2,930 "," 10,080 ",29.1%,62.7%,33.9%,84.8%,26.8%,47.9%," 201,859 "," 336,338 "," 341,894 "
West Palm Beach-Ft. Pierce FL,548,1,2,55,0,5,0,76,99,38," 794,310 ",20,32963," 8,500 "," 5,940 "," 3,370 "," 4,720 ", 190 ,69.9%,39.6%,55.5%,2.2%,100.0%," 63,879 "," 316,749 "," 319,915 "," 1,120 "," 3,800 ", 70 ," 4,010 "," 5,110 ",78.5%,67.5%,33.2%,80.5%,36.8%,60.1%," 161,056 "," 851,161 "," 858,005 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20005," 6,990 ", 760 ," 5,840 ", 720 , 250 ,10.9%,83.5%,10.3%,3.6%,100.0%," 99,111 "," 153,574 "," 155,545 "," 1,940 ", 520 , 40 , 280 ," 2,570 ",10.9%,36.8%,33.2%,72.2%,16.0%,36.8%," 209,652 "," 360,763 "," 365,519 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22213," 1,640 ", 410 , 790 , 730 , 90 ,25.0%,48.2%,44.5%,5.5%,100.0%," 89,735 "," 140,653 "," 143,505 ", 260 , 650 , 40 , 250 , 960 ,26.0%,61.0%,32.9%,89.0%,44.4%,58.5%," 197,421 "," 322,192 "," 329,461 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20037," 4,800 "," 1,230 "," 3,750 ", 840 , 100 ,25.6%,78.1%,17.5%,2.1%,100.0%," 85,551 "," 156,054 "," 159,035 "," 1,230 ", 680 , 40 , 720 ," 2,000 ",36.0%,58.5%,32.8%,81.0%,40.0%,41.7%," 179,697 "," 370,071 "," 377,154 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02163, 360 , -   , 310 , 50 , -   ,0.0%,86.1%,13.9%,0.0%,100.0%," 91,134 "," 101,519 "," 102,170 ", 100 , 50 , -   , -   , 130 ,0.0%,,32.3%,100.0%,,36.1%," 184,656 "," 209,363 "," 209,650 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20036," 3,300 ", 530 ," 2,790 ", 360 , 50 ,16.1%,84.5%,10.9%,1.5%,100.0%," 87,993 "," 163,023 "," 165,833 ", 880 , 280 , 20 , 230 ," 1,230 ",18.7%,43.4%,31.5%,77.8%,40.0%,37.3%," 178,905 "," 389,203 "," 396,103 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22301," 7,170 "," 1,300 "," 3,690 "," 2,930 ", 350 ,18.1%,51.5%,40.9%,4.9%,100.0%," 93,560 "," 131,488 "," 133,734 "," 1,140 "," 2,630 ", 130 , 760 ," 4,010 ",19.0%,58.5%,30.9%,89.8%,37.1%,55.9%," 199,550 "," 295,592 "," 300,850 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02114," 8,390 "," 1,170 "," 6,540 "," 1,430 ", 210 ,13.9%,77.9%,17.0%,2.5%,100.0%," 115,181 "," 165,567 "," 167,550 "," 2,000 "," 1,170 ", 60 , 510 ," 3,330 ",15.3%,43.6%,30.6%,81.8%,28.6%,39.7%," 260,629 "," 397,045 "," 401,808 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02129," 10,030 "," 1,670 "," 6,370 "," 2,700 ", 730 ,16.7%,63.5%,26.9%,7.3%,100.0%," 108,794 "," 148,219 "," 149,999 "," 1,890 "," 2,080 ", 90 , 680 ," 4,150 ",16.4%,40.7%,29.7%,77.0%,12.3%,41.4%," 248,236 "," 345,356 "," 349,495 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20194," 6,810 "," 1,850 "," 3,550 "," 2,720 ", 360 ,27.2%,52.1%,39.9%,5.3%,100.0%," 93,360 "," 130,843 "," 132,862 "," 1,050 "," 2,320 ", 150 ," 1,160 "," 3,590 ",32.3%,62.7%,29.6%,85.3%,41.7%,52.7%," 202,915 "," 293,914 "," 298,572 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20003," 21,060 "," 2,350 "," 14,990 "," 4,190 "," 1,220 ",11.2%,71.2%,19.9%,5.8%,100.0%," 97,170 "," 124,506 "," 126,203 "," 4,430 "," 3,710 ", 210 ," 1,140 "," 8,660 ",13.2%,48.5%,29.6%,88.5%,17.2%,41.1%," 203,517 "," 274,243 "," 278,014 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20016," 13,300 "," 4,800 "," 7,010 "," 5,180 ", 660 ,36.1%,52.7%,38.9%,5.0%,100.0%," 98,220 "," 218,683 "," 223,028 "," 2,070 "," 4,580 ", 340 ," 2,950 "," 7,190 ",41.0%,61.5%,29.5%,88.4%,51.5%,54.1%," 232,217 "," 557,727 "," 568,321 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20008," 16,020 "," 4,420 "," 11,080 "," 3,880 ", 550 ,27.6%,69.2%,24.2%,3.4%,100.0%," 93,361 "," 175,866 "," 179,521 "," 3,230 "," 3,300 ", 230 ," 2,670 "," 6,980 ",38.3%,60.4%,29.2%,85.1%,41.8%,43.6%," 202,626 "," 428,472 "," 437,575 "
Indianapolis IN,527,1,3,35,0,13,0,54,70,26," 1,089,700 ",36,46290, 140 , 80 , 70 , 60 , -   ,57.1%,50.0%,42.9%,0.0%,100.0%," 55,294 "," 182,113 "," 185,517 ", 20 , 30 , -   , 40 , 80 ,50.0%,50.0%,28.6%,50.0%,,57.1%," 76,550 "," 327,175 "," 333,008 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20818, 850 , 340 , 350 , 430 , 40 ,40.0%,41.2%,50.6%,4.7%,100.0%," 80,199 "," 145,217 "," 149,488 ", 100 , 380 , 40 , 210 , 510 ,41.2%,61.8%,28.6%,88.4%,100.0%,60.0%," 191,326 "," 342,034 "," 350,711 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22102," 13,960 "," 3,270 "," 7,880 "," 4,910 ", 730 ,23.4%,56.4%,35.2%,5.2%,100.0%," 120,632 "," 253,817 "," 257,012 "," 2,250 "," 3,770 ", 280 ," 1,920 "," 6,470 ",29.7%,58.7%,28.6%,76.8%,38.4%,46.3%," 281,171 "," 662,628 "," 670,771 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22201," 21,740 "," 2,630 "," 16,440 "," 4,210 ", 630 ,12.1%,75.6%,19.4%,2.9%,100.0%," 98,873 "," 137,507 "," 139,745 "," 4,690 "," 3,390 ", 210 ," 1,490 "," 8,470 ",17.6%,56.7%,28.5%,80.5%,33.3%,39.0%," 207,950 "," 312,959 "," 318,513 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20007," 11,380 "," 3,150 "," 7,110 "," 3,500 ", 400 ,27.7%,62.5%,30.8%,3.5%,100.0%," 99,102 "," 193,223 "," 197,193 "," 2,020 "," 3,020 ", 210 ," 1,940 "," 5,410 ",35.9%,61.6%,28.4%,86.3%,52.5%,47.5%," 224,142 "," 480,893 "," 490,688 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20009," 30,320 "," 3,560 "," 23,920 "," 3,810 "," 1,750 ",11.7%,78.9%,12.6%,5.8%,100.0%," 95,021 "," 133,631 "," 135,894 "," 6,770 "," 2,920 ", 210 ," 1,360 "," 10,200 ",13.3%,38.2%,28.3%,76.6%,12.0%,33.6%," 197,750 "," 301,461 "," 306,839 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02111," 3,690 ", 720 ," 2,310 "," 1,100 ", 170 ,19.5%,62.6%,29.8%,4.6%,100.0%," 133,485 "," 228,730 "," 231,141 ", 650 , 500 , 30 , 270 ," 1,220 ",22.1%,37.5%,28.1%,45.5%,17.6%,33.1%," 321,600 "," 587,163 "," 593,128 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22206," 12,010 "," 1,900 "," 7,910 "," 2,740 ", 950 ,15.8%,65.9%,22.8%,7.9%,100.0%," 87,626 "," 107,251 "," 108,259 "," 2,210 "," 1,900 ", 250 , 810 ," 4,480 ",18.1%,42.6%,27.9%,69.3%,26.3%,37.3%," 178,419 "," 221,848 "," 223,747 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20015," 7,650 "," 2,990 "," 3,510 "," 3,510 ", 370 ,39.1%,45.9%,45.9%,4.8%,100.0%," 79,522 "," 157,864 "," 161,848 ", 980 ," 3,190 ", 200 ," 1,930 "," 4,500 ",42.9%,64.5%,27.9%,90.9%,54.1%,58.8%," 182,737 "," 375,195 "," 385,027 "
